ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
KITAJSKA RESTAVRACIJA CESARSKA HIŠA,"Ankaranska cesta 5B, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,0,3.2,DA,DA,NE,DA,NE
KITAJSKA RESTAVRACIJA CHANG,"Cesta Marežganskega upora 13, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,4.3,DA,DA,NE,NE,NE
KITAJSKA RESTAVRACIJA DVA ZMAJA,"Kersnikova 31, 3000 Celje",CELJE,4,2.97,DA,DA,NE,NE,NE
KITAJSKA RESTAVRACIJA HAN,"Šmartinska 152 g, 1000 Ljubljana",LJUBLJANA,4,3.67,DA,NE,NE,NE,NE
KITAJSKA RESTAVRACIJA KITAJSKI ZMAJ,"Ižanska cesta 282, 1000 Ljubljana",LJUBLJANA,0,3.3,DA,NE,NE,DA,NE
KITAJSKA RESTAVRACIJA NANKING,"Mačkovec 6, 8000 Novo mesto",NOVO MESTO,5,3.0,DA,DA,NE,DA,NE
KITAJSKA RESTAVRACIJA NOVI ŠANGHAI,"Kapitelska 5, 1000 Ljubljana",LJUBLJANA,4,3.0,DA,DA,NE,DA,NE
KITAJSKA RESTAVRACIJA PEKING,"Ulica narodnih herojev 3, 4260 Bled",BLED,4,3.27,DA,NE,NE,DA,NE
KITAJSKA RESTAVRACIJA ŠANG HAI,"Delavska ulica 11, 4270 Jesenice",JESENICE,5,3.27,DA,DA,NE,DA,NE
KITAJSKA RESTAVRACIJA ZHONGHUA,"Trubarjeva cesta 50, 1000 Ljubljana",LJUBLJANA,5,3.2,DA,NE,NE,NE,NE
KITAJSKA RESTAVRACIJA ZLATA SRNA,"Ulica Pohorskega bataljona 14, 2000 Maribor",MARIBOR,4,2.5,DA,DA,NE,DA,NE
KITAJSKA RESTAVRACIJA ZLATA SRNA - DOSTAVA,"Ulica Pohorskega bataljona 14, 2000 Maribor",MARIBOR,5,3.3,DA,NE,DA,DA,NE
